City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Bobon,PH,12.5246,124.5636,26.01,86,62,3.97,broken clouds
165,Anadyr,RU,64.75,177.4833,-16.0,85,40,3.0,light snow
166,Faanui,PF,-16.4833,-151.75,27.51,73,88,2.8,light rain
167,Bakel,SN,14.905,-12.4568,41.37,7,2,3.23,clear sky
168,Ostrovnoy,RU,68.0531,39.5131,-5.1,91,30,3.52,scattered clouds
169,Nhulunbuy,AU,-12.2333,136.7667,25.0,88,100,2.57,overcast clouds
170,Kimbe,PG,-5.5502,150.1429,24.36,92,96,1.39,overcast clouds
171,Santa Cruz,BO,-17.8,-63.1667,29.0,61,75,6.69,broken clouds
172,Axim,GH,4.8699,-2.2405,29.11,72,52,4.31,light rain
173,Mhlume,SZ,-26.0333,31.85,17.0,88,67,3.6,broken clouds
174,Leningradskiy,RU,69.3833,178.4167,-30.21,95,99,2.35,overcast clouds
175,San Cristobal,VE,7.7669,-72.225,31.0,45,40,9.77,scattered clouds
176,Saint-Joseph,RE,-21.3667,55.6167,28.0,78,75,1.03,light rain
177,Hithadhoo,MV,-0.6,73.0833,28.68,75,51,7.14,broken clouds
178,Paita,PE,-5.0892,-81.1144,26.0,69,0,3.09,clear sky
179,Ixtapa,MX,20.7,-105.2,24.0,83,40,2.06,scattered clouds
180,Ha Noi,VN,21.0245,105.8412,25.0,94,75,2.57,broken clouds
181,Sinnamary,GF,5.3833,-52.95,27.14,80,97,3.32,overcast clouds
182,Santana Do Mundau,BR,-9.1681,-36.2222,30.0,66,75,3.6,broken clouds
183,Ahuimanu,US,21.4447,-157.8378,22.0,73,20,4.12,few clouds
184,Asau,RO,46.4333,26.4,4.44,62,100,1.51,light rain
185,Fjerritslev,DK,57.0813,9.2664,10.56,40,52,3.6,broken clouds
186,Georgetown,MY,5.4112,100.3354,30.0,79,20,2.57,few clouds
187,Ust-Ishim,RU,57.6935,71.1665,-0.25,92,16,3.42,few clouds
188,Raudeberg,NO,61.9875,5.1352,6.67,82,99,8.39,overcast clouds
189,Olafsvik,IS,64.8945,-23.7142,4.97,91,100,14.42,moderate rain
190,Zholymbet,KZ,51.7433,71.7122,-6.83,93,7,2.82,clear sky
191,Edson,CA,53.5835,-116.4356,-3.0,100,75,1.54,broken clouds
192,Longyearbyen,SJ,78.2186,15.6401,-8.0,67,20,4.12,few clouds
193,Biloela,AU,-24.4167,150.5,20.64,78,97,6.25,overcast clouds
194,Hasaki,JP,35.7333,140.8333,14.0,88,0,2.57,clear sky
195,Touros,BR,-5.1989,-35.4608,27.0,83,75,5.14,light rain
196,Salalah,OM,17.0151,54.0924,29.0,74,0,4.12,clear sky
197,Kirando,TZ,-7.4167,30.6,25.34,76,46,0.29,light rain
198,Yumen,CN,40.2833,97.2,7.97,53,100,5.95,light rain
199,Khandyga,RU,62.6667,135.6,-20.47,98,100,0.36,overcast clouds
200,Cockburn Town,TC,21.4612,-71.1419,24.73,75,97,4.98,overcast clouds
201,Resistencia,AR,-27.4606,-58.9839,28.33,44,0,2.57,clear sky
202,Cayenne,GF,4.9333,-52.3333,30.0,74,75,5.14,broken clouds
203,Talant,FR,47.3369,5.0089,12.0,37,0,8.75,clear sky
204,Roebourne,AU,-20.7833,117.1333,28.92,53,38,2.02,scattered clouds
205,Ribeira Grande,PT,38.5167,-28.7,17.0,94,75,11.32,broken clouds
206,Dunedin,NZ,-45.8742,170.5036,14.05,48,99,3.84,overcast clouds
207,Thompson,CA,55.7435,-97.8558,-3.0,68,75,5.14,broken clouds
208,Aparecida Do Taboado,BR,-20.0867,-51.0936,32.45,29,66,1.86,broken clouds
209,Maniitsoq,GL,65.4167,-52.9,-7.27,52,12,3.18,few clouds
210,Manakara,MG,-22.1333,48.0167,24.14,74,0,2.83,clear sky
211,Bac Lieu,VN,9.285,105.7244,28.2,72,45,4.21,scattered clouds
212,Punta Gorda,US,26.9298,-82.0454,20.0,45,20,6.69,few clouds
213,Puerto Escondido,MX,15.85,-97.0667,30.0,79,1,2.57,clear sky
214,Jurado,CO,7.1053,-77.7641,27.8,78,98,0.83,moderate rain
215,Clyde River,CA,70.4692,-68.5914,-27.0,69,20,1.86,few clouds
216,Mandalgovi,MN,45.7625,106.2708,1.13,52,27,3.06,scattered clouds
217,Boa Vista,BR,2.8197,-60.6733,32.0,45,40,9.26,scattered clouds
218,San Buenaventura,MX,27.0833,-101.5333,15.0,72,75,1.64,broken clouds
219,Ternate,ID,0.8,127.4,27.86,82,42,4.12,scattered clouds
220,Saint-Pierre,RE,-21.3393,55.4781,28.0,78,75,1.03,light rain
221,Verkhoyansk,RU,67.5447,133.385,-20.51,98,100,1.97,light snow
222,Tuy Hoa,VN,13.0833,109.3,25.19,92,37,1.53,scattered clouds
223,Qaanaaq,GL,77.484,-69.3632,-24.37,87,100,4.71,overcast clouds
224,Walla Walla,US,46.0646,-118.343,11.67,61,1,1.48,clear sky
225,Nanning,CN,22.8167,108.3167,22.0,88,90,3.0,mist
226,Klaksvik,FO,62.2266,-6.589,8.0,81,75,15.43,broken clouds
227,Pankrushikha,RU,53.8319,80.3406,-4.72,93,100,3.05,overcast clouds
228,Yongan,CN,39.6957,113.6871,4.92,22,5,1.63,clear sky
229,Fuerte Olimpo,PY,-21.0415,-57.8738,35.16,31,99,0.21,overcast clouds
230,Qasigiannguit,GL,68.8193,-51.1922,-14.0,72,75,6.17,snow
231,Imperia,IT,43.9667,7.7833,17.0,77,20,5.14,moderate rain
232,Ngozi,BI,-2.9075,29.8306,17.72,93,99,0.05,light rain
233,Yook,PH,13.2261,121.964,25.34,84,0,2.99,clear sky
234,Elizabeth City,US,36.2946,-76.2511,8.0,36,1,6.17,clear sky
235,Beringovskiy,RU,63.05,179.3167,-17.56,88,100,7.36,overcast clouds
236,Astana,KZ,51.1801,71.446,1.0,80,0,6.0,clear sky
237,Rawson,AR,-43.3002,-65.1023,24.56,41,7,5.27,clear sky
238,Pevek,RU,69.7008,170.3133,-32.04,98,39,1.17,scattered clouds
239,Noyabrsk,RU,63.1994,75.4507,-0.38,84,100,4.97,overcast clouds
240,Geraldton,AU,-28.7667,114.6,25.0,65,89,7.2,overcast clouds
241,Great Falls,US,47.5002,-111.3008,11.0,32,1,5.14,clear sky
242,Provideniya,RU,64.3833,-173.3,-14.75,93,99,5.22,overcast clouds
243,Ruidoso,US,33.3317,-105.673,14.44,38,75,3.09,broken clouds
244,Manaure,CO,11.7751,-72.4445,29.42,60,93,7.15,overcast clouds
245,Bilma,NE,18.6853,12.9164,31.65,7,0,3.34,clear sky
246,Thisted,DK,56.9552,8.6949,10.56,51,40,0.89,scattered clouds
247,Moranbah,AU,-22.0016,148.0466,19.7,86,40,7.3,scattered clouds
248,Vao,NC,-22.6667,167.4833,24.59,79,100,11.38,moderate rain
249,Singleton,AU,-32.5667,151.1833,15.56,83,7,0.89,clear sky
250,Sterling,US,39.0062,-77.4286,7.22,33,1,5.66,clear sky
251,Barra Patuca,HN,15.8,-84.2833,25.85,79,19,6.59,few clouds
252,Praia Da Vitoria,PT,38.7333,-27.0667,17.0,88,75,10.88,broken clouds
253,Bloemhof,ZA,-27.6469,25.607,27.18,20,87,4.01,overcast clouds
254,Vidalia,US,32.2177,-82.4135,13.0,24,1,2.06,clear sky
255,Margate,GB,51.3813,1.3862,9.44,60,94,3.58,overcast clouds
256,Te Anau,NZ,-45.4167,167.7167,10.92,75,13,4.88,few clouds
257,Fortuna,US,40.5982,-124.1573,8.33,93,90,2.06,overcast clouds
258,Kondoa,TZ,-4.9,35.7833,20.71,79,94,2.48,light rain
259,Izhma,RU,65.0083,53.9113,-2.33,95,100,1.11,overcast clouds
260,Nome,US,64.5011,-165.4064,-8.0,79,90,2.23,light snow
261,Byron Bay,AU,-28.65,153.6167,22.0,83,40,4.12,scattered clouds
262,Maltahohe,NA,-24.8333,16.9833,31.5,16,11,2.95,few clouds
263,Gurupa,BR,-1.405,-51.64,30.58,59,71,1.68,broken clouds
264,Bethel,US,41.3712,-73.414,5.0,24,1,5.66,clear sky
265,Pochutla,MX,15.7432,-96.4661,30.0,65,1,2.07,clear sky
266,Baykit,RU,61.67,96.37,-3.21,98,100,0.83,light snow
267,Shellbrook,CA,53.2168,-106.4011,0.0,80,40,1.15,scattered clouds
268,Gamba,GA,-2.65,10.0,27.28,75,99,1.52,overcast clouds
269,San Juan,AR,-31.5375,-68.5364,25.18,44,5,1.71,clear sky
270,Okha,RU,53.5739,142.9478,-5.68,87,99,8.0,overcast clouds
271,Oktyabrskiy,RU,54.4815,53.471,0.97,99,100,1.02,overcast clouds
272,San Alberto,CO,7.7611,-73.3922,24.72,91,100,0.23,overcast clouds
273,Korla,CN,41.7597,86.1469,10.73,25,78,5.88,broken clouds
274,Soe,ID,-9.8607,124.284,19.03,97,100,2.25,moderate rain
275,La Macarena,CO,2.1837,-73.7849,27.56,72,92,1.37,overcast clouds
276,San Antonio,US,29.4241,-98.4936,16.0,82,75,4.12,broken clouds
277,Castelo Do Piaui,BR,-5.3222,-41.5525,32.13,46,5,2.92,clear sky
278,Ayni,TJ,39.3941,68.5377,7.49,54,98,3.93,overcast clouds
279,Chauk,MM,20.8833,94.8167,31.04,42,59,6.92,broken clouds
280,Hukuntsi,BW,-24.0,21.75,31.22,19,0,2.3,clear sky
281,Tigil,RU,57.8,158.6667,-14.68,98,100,1.69,overcast clouds
282,Telde,ES,27.9924,-15.4192,22.0,53,20,12.86,few clouds
283,Shulan,CN,44.4167,126.95,1.1,36,80,1.46,broken clouds
284,Rudbar,AF,30.15,62.6,32.13,11,0,2.41,clear sky
285,Kardla,EE,58.9978,22.7492,4.44,72,40,7.15,scattered clouds
286,Marzuq,YE,14.4,46.4667,26.47,25,11,5.57,few clouds
287,Beruwala,LK,6.4788,79.9828,26.99,78,100,2.5,overcast clouds
288,Mount Pleasant,US,32.7941,-79.8626,13.33,25,1,2.33,clear sky
289,Port-Gentil,GA,-0.7193,8.7815,29.0,79,40,5.14,scattered clouds
290,College,US,64.8569,-147.8028,-8.89,79,90,1.08,light snow
291,Vila Franca Do Campo,PT,37.7167,-25.4333,18.0,82,75,9.26,broken clouds
292,Saint-Georges,GD,12.0564,-61.7485,29.0,70,75,8.75,broken clouds
